Id,QuestionsId,PosX,PosY,ScreenWidth,ScreenHeight,RelativeX,RelativeY,RelativeTime
213,210,2343,242,1920,1109,1,0,00:00:05
214,211,2826,211,1920,1109,1,0,00:00:15
215,213,2569,217,1920,1109,1,0,00:00:11
216,214,2472,719,1920,1109,1,1,00:00:33
217,215,3136,742,1920,1109,2,1,00:00:15
218,216,2522,669,1920,1109,1,1,00:00:09
219,217,2602,646,1920,1109,1,1,00:00:18
220,219,2810,377,1920,1109,1,0,00:00:17
221,220,2488,752,1920,1109,1,1,00:00:17
222,221,2282,877,1920,1109,1,1,00:00:05
223,222,671,240,1718,1324,0,0,00:00:15
224,223,893,235,1718,1324,1,0,00:00:06
225,224,296,1151,1718,1324,0,1,00:00:00
226,225,648,879,1718,1324,0,1,00:00:14
227,226,326,269,1718,1324,0,0,00:00:07
228,227,455,265,1718,1324,0,0,00:00:07
229,228,271,968,1718,1324,0,1,00:00:00
230,229,1043,890,1718,1324,1,1,00:00:00
231,231,784,669,1718,1324,0,1,00:00:08
232,232,635,1020,1718,1324,0,1,00:00:07
233,233,836,689,1718,1324,0,1,00:00:08
234,234,327,1116,1718,1324,0,1,00:00:02
235,235,374,188,1633,816,0,0,00:00:05
236,236,907,211,1633,816,1,0,00:00:04
237,237,689,183,1633,816,0,0,00:00:03
238,238,1219,213,1633,816,1,0,00:00:05
239,239,819,170,1633,816,1,0,00:00:43
240,240,921,369,1633,816,1,0,00:00:51
241,241,250,383,1633,816,0,0,00:00:15
242,242,1630,516,1633,816,1,1,00:00:06
243,243,751,491,1633,816,0,1,00:00:18
244,244,758,255,1633,816,0,0,00:00:19
245,245,1049,534,1633,816,1,1,00:00:04
246,246,239,683,1633,816,0,1,00:00:06
247,248,367,142,1920,966,0,0,00:00:04
248,249,882,165,1920,966,0,0,00:00:05
249,250,693,136,1920,966,0,0,00:00:04
250,251,1183,168,1920,966,1,0,00:00:09
251,253,794,375,1920,966,0,0,00:00:17
252,254,383,464,1920,966,0,0,00:00:35
253,252,1844,502,1920,966,1,1,00:00:06
254,255,778,364,1920,966,0,0,00:00:53
255,256,873,587,1920,966,0,1,00:00:09
256,257,682,595,1920,966,0,1,00:00:07
257,258,1025,630,1920,966,1,1,00:00:07
258,259,252,552,1920,966,0,1,00:00:04
259,260,778,662,1920,966,0,1,00:00:05
260,261,831,152,1680,944,0,0,00:00:08
261,262,328,133,1680,944,0,0,00:00:04
262,263,655,138,1680,944,0,0,00:00:07
263,265,747,503,1680,944,0,1,00:00:28
264,264,1155,161,1680,944,1,0,00:00:04
265,266,826,376,1680,944,0,0,00:00:13
266,267,640,569,1680,944,0,1,00:00:14
267,269,679,805,1680,944,0,1,00:00:05
268,271,1074,585,1680,944,1,1,00:00:08
269,272,207,785,1680,944,0,1,00:00:06
270,273,708,348,1680,944,0,0,00:00:20
271,274,651,213,1920,949,0,0,00:00:18
272,275,935,219,1920,949,0,0,00:00:27
273,276,450,242,1920,949,0,0,00:00:07
274,277,356,241,1920,949,0,0,00:00:04
275,278,823,227,1920,949,0,0,00:00:53
276,278,325,289,1920,949,0,0,00:00:00
277,279,727,541,1920,949,0,1,00:00:36
278,280,472,310,1920,949,0,0,00:00:14
279,281,1175,433,1920,949,1,0,00:00:13
280,287,632,222,1280,726,0,0,00:00:10
281,288,902,168,1280,726,1,0,00:00:04
282,289,212,425,1280,726,0,1,00:00:47
283,290,624,203,1280,726,0,0,00:00:08
284,291,401,224,1280,726,0,0,00:00:03
285,292,300,229,1280,726,0,0,00:00:03
286,293,562,573,1280,726,0,1,00:00:16
287,294,313,253,1280,726,0,0,00:00:18
288,294,300,173,1280,726,0,0,00:00:22
289,295,1120,468,1280,726,1,1,00:00:06
290,294,876,321,1280,726,1,0,00:00:00
291,296,591,265,1280,726,0,0,00:00:05
292,297,855,163,1280,726,1,0,00:00:08
293,298,571,166,1280,726,0,0,00:00:07
294,297,912,228,1280,726,1,0,00:00:10
295,297,777,193,1280,726,1,0,00:00:10
296,299,282,504,1280,726,0,1,00:00:03
297,300,266,172,958,929,0,0,00:00:02
298,301,595,180,958,929,1,0,00:00:03
299,302,770,198,958,929,1,0,00:00:03
300,303,1178,185,1920,949,1,0,00:00:13
301,304,768,420,1920,949,0,0,00:00:52
302,305,892,532,1920,949,0,1,00:00:10
303,306,494,531,1920,949,0,1,00:00:07
304,307,1830,512,1920,949,1,1,00:00:03
305,308,735,361,1920,949,0,0,00:00:19
306,310,1009,620,1920,949,1,1,00:00:04
307,311,238,688,1920,949,0,1,00:00:07
308,312,809,577,1920,949,0,1,00:00:07
309,313,355,191,1920,927,0,0,00:00:05
310,314,874,218,1920,927,0,0,00:00:04
